,correlation,difference,fraction receiving evidence,n_agents,n_evidence,n_iterations,risk,trust
225,0.8357354721659779,0.14787878787878792,0.25,50,20,50,0.3,0.3
226,0.7514153156193911,0.18142857142857136,0.25,50,20,50,0.3,0.3
227,0.8307720629673078,0.1412121212121212,0.25,50,20,50,0.3,0.3
228,0.947212050543949,0.20380941751404083,0.25,50,20,50,0.5,0.5
229,0.8194358184963991,0.17380952380952377,0.25,50,20,50,0.5,0.5
230,0.794077598177445,0.14488239663282956,0.25,50,20,50,0.5,0.5
231,0.7581301728734937,0.19575757575757569,0.25,50,20,50,0.5,0.5
232,0.9067831446362167,0.22643145993232636,0.25,50,20,50,0.7,0.7
233,0.9156734890446177,0.11980561555075579,0.25,50,20,50,0.7,0.7
234,0.8558385518966265,0.08952370322832659,0.25,50,20,50,0.7,0.7
235,0.8641151123115306,0.19099732562032878,0.25,50,20,50,0.7,0.7
236,0.747052968594892,0.1687123315849017,0.25,50,20,50,1.0,1.0
237,0.5128222717159777,0.07904761904761941,0.25,50,20,50,1.0,1.0
238,0.5770770013099537,0.11509719222462234,0.25,50,20,50,1.0,1.0
239,0.5084659285430425,0.11878787878787911,0.25,50,20,50,1.0,1.0
240,0.9062369037872641,0.13121212121212114,0.33,50,20,50,0.0,0.0
241,0.8248079238767564,0.2187123315849018,0.33,50,20,50,0.0,0.0
242,0.9045318924021011,0.10047619047619033,0.33,50,20,50,0.0,0.0
243,0.7468230991053639,0.20168831168831156,0.33,50,20,50,0.0,0.0
244,0.9499060241720428,0.19883116883116878,0.33,50,20,50,0.3,0.3
245,0.9136509429365809,0.16168831168831155,0.33,50,20,50,0.3,0.3
246,0.8726805819967135,0.20357431707518345,0.33,50,20,50,0.3,0.3
247,0.8453746492560077,0.1487123315849014,0.33,50,20,50,0.3,0.3
248,0.9094424260691792,0.14761904761904762,0.33,50,20,50,0.5,0.5
249,0.8903324925249874,0.10216450216450194,0.33,50,20,50,0.5,0.5
250,0.6725043020722995,0.21871233158490191,0.33,50,20,50,0.5,0.5
251,0.7656397283745561,0.06333333333333331,0.33,50,20,50,0.5,0.5
252,0.9102011676257503,0.14502164502164494,0.33,50,20,50,0.7,0.7
253,0.686480098920462,0.057402491107114206,0.33,50,20,50,0.7,0.7
254,0.8457639903541159,0.10666666666666665,0.33,50,20,50,0.7,0.7
255,0.6085198999784565,0.16454545454545444,0.33,50,20,50,0.7,0.7
256,0.8066323142028358,0.07871233158490151,0.33,50,20,50,1.0,1.0
257,0.9143575426297984,0.07309812659899291,0.33,50,20,50,1.0,1.0
258,0.7905488588545442,0.05009595834552555,0.33,50,20,50,1.0,1.0
259,0.6060382125497198,0.082857142857143,0.33,50,20,50,1.0,1.0
260,0.9625140700094673,0.11121212121212114,0.5,50,20,50,0.0,0.0
261,0.8447712898778389,0.1071428571428571,0.5,50,20,50,0.0,0.0
262,0.8820893150770003,0.16168831168831163,0.5,50,20,50,0.0,0.0
263,0.8811220463452146,0.12454545454545445,0.5,50,20,50,0.0,0.0
264,0.9375577662015724,0.10823614110871127,0.5,50,20,50,0.3,0.3
265,0.8583244869345639,0.13101773676287687,0.5,50,20,50,0.3,0.3
266,0.8822733171873957,0.14168831168831156,0.5,50,20,50,0.3,0.3
267,0.83246828938025,0.1312121212121212,0.5,50,20,50,0.3,0.3
268,0.9508632819133869,0.09454545454545442,0.5,50,20,50,0.5,0.5
269,0.8866315271121232,0.10666666666666676,0.5,50,20,50,0.5,0.5
270,0.9253017273006318,0.09766399228699547,0.5,50,20,50,0.5,0.5
271,0.7956012676278489,0.07871233158490167,0.5,50,20,50,0.5,0.5
